id	location	country	collection_date_raw	collection_date	pident
HM045813	India	India	06-Nov-1963	1963-11-06	93.9919779299848
HM045788	India	India	1973	1973-07-02	93.6881385083714
FJ000065	India: Gujarat	India	Sep-2006	2006-09-15	99.1123198883815
EU564335	India: Rajasthan	India	31-Oct-2006	2006-10-31	99.1123198883815
EU372006	India: Kerala	India	11-Jun-2007	2007-06-11	98.7146040081177
FJ000069	India: Kerala	India	Jun-2007	2007-06-15	99.02744207678
JN558835	India: Andhra Pradesh, Kadapa	India	2008	2008-07-02	98.2667262810756
GQ428215	India	India	29-May-2008	2008-05-29	98.6297336377473
KJ796845	India: Baypore, Kozhikkode, Kerala State	India	04-Aug-2009	2009-08-04	98.5879325215627
KJ796846	India: Chaliyum, Kozhikkode, Kerala State	India	18-Aug-2009	2009-08-18	98.6297336377473
KT336778	India: Thiruvananthapuram, Kerala	India	16-Jul-2010	2010-07-16	94.4105232538474
KJ679577	India	India	12-Sep-2011	2011-09-12	93.3539604261796
KJ679578	India	India	21-Dec-2011	2011-12-21	95.5100882800609
KT336779	India: Thiruvananthapuram, Kerala	India	03-Aug-2012	2012-08-03	94.2927096228649
KT336780	India: Anchuthengu, Kerala	India	03-Aug-2012	2012-08-03	94.3088614916286
KT336782	India: Kumily, Kerala	India	27-May-2013	2013-05-27	94.1995988499915
KT336781	India: Kumily, Kerala	India	06-Mar-2013	2013-03-06	94.1824968713005
KX619422	India	India	08-Jul-2014	2014-07-08	95.6447916455268
KX619423	India	India	23-Jul-2014	2014-07-23	95.966863267377
KX619425	India	India	11-Sep-2015	2015-09-11	96.7274966176222
KX619426	India	India	03-Dec-2015	2015-12-03	98.4100806697108
KY057363	India	India	28-Aug-2016	2016-08-28	99.7290449010654
HM045791	Indonesia	Indonesia	1983	1983-07-02	93.6213934550989
HM045797	Indonesia	Indonesia	1985	1985-07-02	93.5287473363775
FJ807897	Indonesia	Indonesia	2007	2007-07-02	92.9631430745814
LC259083	Indonesia	Indonesia	2009-09-11	2009-09-11	93.0058352782006
KC862329	Indonesia	Indonesia	2010	2010-07-02	98.993605022831
MF773561	Indonesia	Indonesia	2011	2011-07-02	92.9292465753425
LC259085	Indonesia	Indonesia	2012-10-15	2012-10-15	92.6869863013699
LC259087	Indonesia	Indonesia	2013-07-06	2013-07-06	92.6620624048706
KM673291	Indonesia: Bali	Indonesia	Jan-2013	2013-01-15	92.6849923896499
KX097982	Indonesia	Indonesia	2015	2015-07-02	92.7358371385084
KX097986	Indonesia	Indonesia	2015	2015-07-02	91.5440174192457
KX262993	Italy	Italy	2007	2007-07-02	97.4545075257906
KP003810	Italy	Italy	2007	2007-07-02	96.9644119736174
MG049915	Italy	Italy	2017-09-15	2017-09-15	97.9962161339422
KY435468	Jamaica	Jamaica	06-Aug-2014	2014-08-06	88.8219766615931
KY435462	Jamaica	Jamaica	25-Aug-2014	2014-08-25	88.8305276509386
LC331252	Japan: Tokyo	Japan	2016	2016-07-02	98.6551178758667
MF773562	Kiribati	Kiribati	2015	2015-07-02	92.7687366818874
MF076576	Laos: Champasack, Khong, Donkao	Laos	31-Aug-2012	2012-08-31	94.0637331303907
MF076577	Laos: Champasack, Khong, Done Khao	Laos	31-Aug-2012	2012-08-31	94.0637331303907
MF076571	Laos: Champasack, Pathoumphone, Bangliengnai	Laos	28-Mar-2013	2013-03-28	94.0637331303907
MF076570	Laos: Champasack, Khong, Khone Noy	Laos	28-Mar-2013	2013-03-28	94.0390302722814
KP003808	Madagascar	Madagascar	2006	2006-07-02	96.9556083206494
EU703759	Malaysia: Bagan Panchor	Malaysia	2006	2006-07-02	93.0977321156773
EU703762	Malaysia: Bagan Panchor	Malaysia	2006	2006-07-02	93.0389117199391
KM923918	Malaysia	Malaysia	09-Mar-2007	2007-03-09	93.0728082191781
KM923917	Malaysia	Malaysia	09-Mar-2007	2007-03-09	93.0728082191781
FN295485	Malaysia:Johor	Malaysia	2008	2008-07-02	98.478467529173
MF773568	Malaysia	Malaysia	2008	2008-07-02	98.934575765263
KT324225	Malaysia: NegeriSembilan-Kpilah	Malaysia	Jan-2009	2009-01-15	98.5367034500254
LC259093	Malaysia	Malaysia	2009-01-06	2009-01-06	99.0275791476408
LN898093	Martinique	Martinique	Dec-2013	2013-12-15	91.171120581769
LN898101	Martinique	Martinique	Jan-2014	2014-01-15	91.1368545577541
LN898100	Martinique	Martinique	Jan-2014	2014-01-15	91.1534980551328
FJ959103	Mauritius	Mauritius	2006	2006-07-02	99.0365722983257
KP003809	Mayotte	Mayotte	2006	2006-07-02	98.8749404701505
KT327166	Mexico	Mexico	2014	2014-07-02	91.1534980551328
KP851709	Mexico: Chiapas	Mexico	15-Oct-2014	2014-10-15	92.7607610350076
MG921596	Mexico	Mexico	2015	2015-07-02	91.1309803822087
KJ689452	Micronesia: Yap State	Micronesia	Nov-2013	2013-11-15	92.8026331811263
KJ689453	Micronesia: Yap State	Micronesia	Nov-2013	2013-11-15	92.7946575342466
KY435467	Montserrat	Montserrat	24-Jul-2014	2014-07-24	88.8134256722476
KY435457	Montserrat	Montserrat	30-Oct-2014	2014-10-30	88.8390786402841
KF151175	Myanmar	Myanmar	11-Dec-2009	2009-12-11	98.6727092846271
KF151174	Myanmar	Myanmar	13-Jul-2009	2009-07-13	98.7315296803653
KF590565	Myanmar	Myanmar	2010	2010-07-02	98.1227634026721
KF590564	Myanmar	Myanmar	2010	2010-07-02	97.9113835616438
KC149888	Netherlands	Netherlands	2010	2010-07-02	99.1884566210046
HE806461	New Caledonia	New Caledonia	28-Feb-2011	2011-02-28	91.6032081853543
KY703959	Nicaragua: Managua	Nicaragua	03-Dec-2014	2014-12-03	89.4220994419077
KY703984	Nicaragua: Managua	Nicaragua	27-Nov-2014	2014-11-27	92.5830580077795
KY703914	Nicaragua: Managua	Nicaragua	15-Aug-2015	2015-08-15	92.6421296296296
KY703936	Nicaragua: Managua	Nicaragua	07-Oct-2015	2015-10-07	89.3122374429224
KY703917	Nicaragua: Esteli	Nicaragua	08-Jan-2016	2016-01-08	89.3965044816506
HM045786	Nigeria	Nigeria	07-Jul-1964	1964-07-07	81.3257191780822
HM045807	Nigeria	Nigeria	13-Apr-1965	1965-04-13	81.2922907153729
MF774614	Pakistan	Pakistan	2016	2016-07-02	98.993842381194
MF774618	Pakistan	Pakistan	2016	2016-07-02	99.5179834263487
MF740874	Pakistan: Karachi	Pakistan	2017	2017-07-02	94.8418731608321
KR559486	Panama	Panama	Nov-2014	2014-11-15	92.7946575342466
MF773569	Papua New Guinea	Papua New Guinea	2013	2013-07-02	98.8327223913411
HM045790	Philippines	Philippines	17-Jul-1985	1985-07-17	90.5550921697954
HM045800	Philippines	Philippines	1985	1985-07-02	90.5215821072214
KT308160	Philippines	Philippines	2012	2012-07-02	91.4417108066971
KT308163	Philippines	Philippines	2012	2012-07-02	90.5806977845425
AB860301	Philippines	Philippines	2013	2013-07-02	92.4473568408591
MF773563	Philippines	Philippines	2014	2014-07-02	92.7946575342466
MF773564	Philippines	Philippines	2016	2016-07-02	92.7517884322679
KR559470	Puerto Rico	Puerto Rico	Nov-2014	2014-11-15	92.7856849315069
KR264949	Puerto Rico	Puerto Rico	15-Jul-2014	2014-07-15	92.8026331811263
KP003813	Republic of the Congo: Brazzaville	Republic of the Congo	2011	2011-07-02	92.2291506003721
KF872195	Russia	Russia	24-Sep-2013	2013-09-24	92.5609930661255
KY435482	Saint Kitts and Nevis	Saint Kitts and Nevis	11-Mar-2014	2014-03-11	88.8134256722476
KR559492	Saint Lucia	Saint Lucia	Aug-2014	2014-08-15	92.8116057838661
KY435481	Saint Lucia	Saint Lucia	22-Apr-2014	2014-04-22	88.8134256722476
KX262991	Saint Martin	Saint Martin	2003	2003-07-02	90.7395205479452
MG208125	Saint Martin	Saint Martin	2013	2013-07-02	92.7607610350076
KY435475	Saint Vincent and the Grenadines	Saint Vincent and the Grenadines	22-May-2014	2014-05-22	88.8048746829021
MF773559	Samoa	Samoa	2014	2014-07-02	92.7358371385084
HM045821	Senegal	Senegal	20-Mar-1963	1963-03-20	93.2861386774903
HM045798	Senegal	Senegal	Nov-1966	1966-11-15	81.3680933536276
HM045785	Senegal	Senegal	Nov-1966	1966-11-15	81.3935312024353
HM045815	Senegal	Senegal	Feb-1979	1979-02-15	81.3514259259259
KX262986	Senegal: Kedougou	Senegal	1983	1983-07-02	81.12233384069
KX262995	Senegal: Kedougou	Senegal	10-Jul-1983	1983-07-10	81.3331689497717
HM045819	Senegal	Senegal	Feb-1993	1993-02-15	81.2263888888889
HM045817	Senegal	Senegal	Nov-2005	2005-11-15	81.1289687975647
FJ807896	Singapore	Singapore	2006	2006-07-02	99.120308388297
FJ445433	Singapore	Singapore	Aug-2008	2008-08-15	98.3592651784204
FJ445430	Singapore	Singapore	Jul-2008	2008-07-15	98.2916678504989
KY883764	Singapore	Singapore	Jan-2013	2013-01-15	92.5412903771351
HM045792	South Africa	South Africa	Apr-1956	1956-04-15	94.6223676644681
HM045805	South Africa	South Africa	1976	1976-07-02	92.7877422628108
HM045795	South Africa	South Africa	1976	1976-07-02	92.7877422628108
GU189061	Sri Lanka	Sri Lanka	2006	2006-07-02	99.1125144596651
HM045799	Sri Lanka	Sri Lanka	2007	2007-07-02	98.6898731608321
FJ445427	Sri Lanka	Sri Lanka	Jul-2007	2007-07-15	98.3429444444444
FJ513645	Sri Lanka	Sri Lanka	Apr-2008	2008-04-15	98.224703196347
FJ513673	Sri Lanka	Sri Lanka	Apr-2008	2008-04-15	98.1821802807374
KY435463	Suriname	Suriname	02-Aug-2014	2014-08-02	88.7877727042111
KY435456	Suriname	Suriname	17-Aug-2014	2014-08-17	88.8048746829021
HM045811	Tanzania	Tanzania	22-Feb-1953	1953-02-22	96.5250769490952
HM045810	Thailand	Thailand	1958	1958-07-02	94.0607153729072
LC259082	Thailand	Thailand	1958	1958-07-02	94.2033561643836
HM045814	Thailand	Thailand	1975	1975-07-02	93.6751879756469
HM045808	Thailand	Thailand	1978	1978-07-02	93.6124277016743
KX262988	Thailand: Northeast Thailand	Thailand	1988	1988-07-02	93.4526484018265
HM045789	Thailand	Thailand	1988	1988-07-02	93.3344893455099
HM045796	Thailand	Thailand	1995	1995-07-02	93.123296042618
HM045787	Thailand	Thailand	1995	1995-07-02	93.1312656012176
KX262987	Thailand: Northeast Thailand	Thailand	1996	1996-07-02	91.9822831050228
GU301780	Thailand	Thailand	21-Oct-2008	2008-10-21	98.934575765263
KJ796851	Thailand	Thailand	01-Dec-2008	2008-12-01	98.6974134956875
GU301781	Thailand	Thailand	27-Jul-2009	2009-07-27	98.9685268899036
GU908223	Thailand	Thailand	14-Aug-2009	2009-08-14	96.558941315745
KJ579184	Thailand	Thailand	14-Oct-2013	2013-10-14	98.1139563673262
KJ579187	Thailand	Thailand	14-Oct-2013	2013-10-14	98.0723221714866
MF773565	Timor-Leste	Timor-Leste	2010	2010-07-02	92.9220767799763
LC259088	Tonga	Tonga	2014-03-25	2014-03-25	92.7687366818874
KY435454	Trinidad and Tobago	Trinidad and Tobago	Nov-2011	2011-11-15	88.7877727042111
KR046234	Trinidad and Tobago	Trinidad and Tobago	12-Sep-2014	2014-09-12	92.8026331811263
KR046228	Trinidad and Tobago	Trinidad and Tobago	11-Sep-2014	2014-09-11	92.8116057838661
KY435476	Turks and Caicos Islands	Turks and Caicos Islands	05-Jun-2014	2014-06-05	88.8134256722476
KY435471	Turks and Caicos Islands	Turks and Caicos Islands	11-Jun-2014	2014-06-11	88.8305276509386
HM045812	Uganda	Uganda	1982	1982-07-02	97.2602063250465
KY575574	USA	USA	1995	1995-07-02	96.6854371723321
KY575567	USA	USA	2006	2006-07-02	98.7236949095214
KY575568	USA	USA	2006	2006-07-02	98.7147420936919
KY575570	USA	USA	2008	2008-07-02	98.5794550989345
KY680396	USA: Osceola County	USA	02-Sep-2014	2014-09-02	90.9765433789954
KY575572	USA	USA	2014	2014-07-02	90.1137896161001
MF001515	USA	USA	2015	2015-07-02	92.7946575342466
MF001511	USA	USA	2015	2015-07-02	92.7517884322679
KR559482	Virgin Islands	Virgin Islands	Aug-2014	2014-08-15	92.8026331811263
KR559494	Virgin Islands	Virgin Islands	Jul-2014	2014-07-15	92.7946575342466
KC614648	Yemen: Al Hodayda, Al Khawkha district	Yemen	25-Jan-2011	2011-01-25	98.8924931506849
